key,zh,en
case.phases.phase-03.screens.paired-document-grid.content,"用「口味 KV 系列化模板」把同一传播骨架按口味拆成可批量扩展的主视觉资产，做到一眼可辨、风格统一，并支持渠道与社媒高频上新。","Using a「flavor KV serialization template」to split the same communication framework by flavor into batch-expandable key visual assets, achieving instant recognition, unified style, and supporting high-frequency updates for channels and social media."
case.phases.phase-03.screens.fly-in-gallery.title,产品画廊,Product Gallery
case.phases.phase-03.screens.fly-in-gallery.content,"用「贴纸图形资产包」的模块化设计，把关键卖点、口味识别与品牌符号做成可快速印刷落地的线下物料，支持终端装饰、赠品活动与社群传播。","Using a modular「sticker graphic asset pack」design to turn key selling points, flavor identification, and brand symbols into quickly printable offline materials, supporting terminal decoration, promotional giveaways, and community outreach."
case.phases.phase-03.screens.grouped-carousel.title,产品分组展示,Product Group Display
case.phases.phase-03.screens.grouped-carousel.content,"用「周边壳套 CMF 发散 + 纹理材质库 + 挂件搭配」的模块化探索，把保护与便携的功能需求转化为可量产、可联名、可做活动的周边体系，延展产品的日常使用与品牌表达。","Using a modular exploration of「accessory case CMF divergence + texture material library + pendant matching」to transform protection and portability needs into a mass-producible, co-brandable, campaign-ready accessory system, extending daily product use and brand expression."
case.phases.phase-03.screens.cards-marquee.title,卡片跑马灯,Cards Marquee
case.phases.phase-03.screens.cards-marquee.content,"用「丝印图样库 + 版位规范」的模块化设计，为产品表面预留可快速更换的装饰层，在保持品牌调性的同时，支持季节限定、联名合作与小批量试水的灵活变化。","Using a modular「silk-screen pattern library + position specification」design to reserve a quickly replaceable decorative layer on product surfaces, supporting seasonal editions, brand collaborations, and small-batch trials while maintaining brand tonality."
case.phases.phase-03.screens.square-grid.title,产品网格,Product Grid
case.phases.phase-03.screens.square-grid.content,"用「款式收敛 + 打样量产跟进 + 包装套件」的全链路管控，把发散探索的结果收拢为可落地的款式组合，确保每一个上市 SKU 都有清晰的定位与完整的配套。","Using a full-chain management of「style convergence + prototype-to-production follow-up + packaging kit」to converge exploratory results into viable style combinations, ensuring every launched SKU has clear positioning and complete supporting materials."
case.phases.phase-03.screens.panorama-full.title,全景展示,Panorama Display
case.phases.phase-03.screens.panorama-full.content,"用「一页纸产品模块」的信息聚合设计，把产品核心规格、卖点亮点与视觉呈现集成在单屏快速浏览视图中，适用于内部培训、渠道速递与销售资料。","Using a「one-page product module」information aggregation design to integrate core product specs, key selling points, and visual presentation in a single-screen quick-view format, suitable for internal training, channel briefings, and sales materials."
case.phases.phase-03.screens.panorama-marquee.title,跑马灯混合展示,Marquee Mixed Display
case.phases.phase-03.screens.panorama-marquee.content,"用「一次性烟弹包装 + 口味卡 + UI 图案复用」的模块化设计，把多口味标准化包装与信息组件串联起来，做到货架可辨、口味可读，并支撑社媒与终端的组合传播。","Using a modular「disposable pod packaging + flavor card + UI pattern reuse」design to connect multi-flavor standardized packaging with information components, achieving shelf recognition, flavor readability, and supporting combined social media and retail communications."
case.phases.phase-03.screens.product-grid-36.title,产品矩阵,Product Matrix
case.phases.phase-03.screens.product-grid-36.content,"用「口味资源库」的系统化管理，把口味颜色、图标、名称、描述、气味分类等信息沉淀为可复用的数据集，支撑包装设计、营销物料与多语言适配的高效产出。","Using a systematic「flavor resource library」management to consolidate flavor colors, icons, names, descriptions, and scent classifications into a reusable dataset, supporting efficient production of packaging design, marketing materials, and multi-language adaptation."
case.phases.phase-03.screens.document-focus.title,文档聚焦,Document Focus
case.phases.phase-03.screens.document-focus.content,"用「展架结构 + 信息分层 + 口味陈列逻辑」的终端设计，把产品展示做成一套可复制的零售标准，确保不同门店与渠道下的品牌呈现一致、信息清晰、导购顺畅。","Using a terminal design of「display rack structure + information layering + flavor display logic」to create a replicable retail standard for product display, ensuring consistent brand presentation, clear information, and smooth customer guidance across different stores and channels."
case.phases.phase-03.screens.gallery-upper.title,设计规范的系统化文档,Systematic documentation of design specifications
case.phases.phase-03.screens.gallery-upper.content,"用「AI 生成模特街拍 + 真实生活场景实拍」的混合拍摄方案，把社媒素材制作变成可快速组合、按需出片的资产流水线，支撑多平台内容运营的高频上新。","Using a hybrid shooting approach of「AI-generated model street photography + real-life scene photography」to transform social media content production into a fast-combinable, on-demand asset pipeline, supporting high-frequency content updates across multiple platforms."
case.phases.phase-03.screens.gallery-upper.emphasis,规范是一致性的保障,Specifications are the guarantee of consistency
case.phases.phase-03.screens.gallery-lower.title,品牌延展与应用示例,Brand extension and application examples
case.phases.phase-03.screens.gallery-lower.content,"从产品到传播物料，品牌视觉在各类媒介中保持统一。","From products to communication materials, brand visuals maintain consistency across various media."
case.phases.phase-03.screens.gallery-lower.emphasis,"延展不是复制，是系统的自然生长","Extension is not copying, it's the natural growth of the system"
case.phases.phase-03.screens.closing.title,在「版本扩展与体验升级」目标下保留核心识别要素，建立可替换的风格层与功能层,Retaining core identity elements under the goal of 「version expansion and experience upgrade」, establishing replaceable style and function layers
case.phases.phase-03.screens.closing.content,并用「组件化拆解」把升级落到信息展示 / 模式差异 / 社群与应用路径。,Implementing upgrades through 「componentized breakdown」 into information display / mode differentiation / community and application paths.
case.phases.phase-03.screens.closing.summary,在「版本扩展与体验升级」目标下保留核心识别要素，建立可替换的风格层与功能层，并用「组件化拆解」把升级落到信息展示 / 模式差异 / 社群与应用路径。,"Retaining core identity elements under the goal of 「version expansion and experience upgrade」, establishing replaceable style and function layers, implementing upgrades through 「componentized breakdown」 into information display / mode differentiation / community and application paths."
case.phases.phase-03.screens.grouped-carousel.groups.0.label,皮质方包,Leather Pouch
case.phases.phase-03.screens.grouped-carousel.groups.1.label,硅胶软壳,Silicone Soft Case
case.phases.phase-03.screens.grouped-carousel.groups.2.label,软面口袋,Fabric Pocket
case.phases.phase-03.screens.document-focus.groups.0.label,瓦楞纸展架,Corrugated Display
case.phases.phase-03.screens.document-focus.groups.1.label,透明亚克力展架,Clear Acrylic Display
case.phases.phase-03.screens.document-focus.groups.2.label,炫彩亚克力展架,Iridescent Acrylic Display
